,,"Bước 1",,,,,,,,,,"Bước 2",,,,,,,,,,"Bước 3",,,,,,,,,,"Bước 4",,,,,,,,,,,"Bước 5",,,,,,,,
Ngày,"Cơ sở","Đầu ngày",Mới,"Xử lý","Cuối ngày",24H,"Quá 24H",OUT,Chờ,Mất,,"Đầu ngày",Mới,"Xử lý","Cuối ngày","Sắp KT","Quá hạn",Out,Chờ,Mất,,"Đầu ngày",Mới,"Xử lý","Cuối ngày","Ktra 48H","Quá 48H","Không chấm",Chờ,Mất,,"Đầu ngày",Mới,"Xử lý","Cuối ngày","Chưa liên lạc","Lần 1","Lần 2","Lần 3",Chờ,Mất,,"Đầu ngày",Mới,"Xử lý","Cuối ngày","Sắp N.Học","Quá hạn N.Học","Thất bại",Chờ,Mất
2021-06-11,DQ,2,1,2,1,0,0,1,0,0,,3,2,0,5,2,0,3,0,0,,12,0,0,12,0,9,3,0,0,,7,0,0,7,0,5,0,2,0,0,,9,0,0,9,0,9,0,0,0,
2021-06-11,TY,8,4,11,1,1,0,0,0,0,,21,11,2,30,23,0,7,0,0,,0,2,0,2,2,0,0,0,0,,9,0,0,9,0,0,0,9,0,0,,24,0,0,24,0,24,0,0,0,
2021-06-12,TDH,6,0,1,5,0,0,5,0,0,,10,3,2,11,4,3,4,0,0,,37,2,3,36,2,27,7,0,0,,18,3,1,20,3,9,5,3,0,0,,28,1,0,29,1,28,0,0,0,

2021-06-12,PTT,0,3,3,0,0,0,0,0,0,,14,3,0,17,10,7,0,0,0,,1,0,1,0,0,0,0,0,0,,3,1,0,4,4,0,0,0,0,0,,3,0,0,3,0,3,0,0,0,
2021-06-12,DQ,1,1,1,1,0,0,1,0,0,,4,1,0,5,2,0,3,0,0,,13,0,3,10,0,7,3,0,0,,6,3,1,8,3,3,0,2,0,0,,9,1,0,10,1,9,0,0,0,
2021-06-12,TY,1,1,2,0,0,0,0,0,0,,29,2,4,27,20,0,7,0,0,,0,4,0,4,4,0,0,0,0,,12,0,3,9,0,0,0,9,0,0,,24,3,0,27,3,24,0,0,0,
2021-06-13,TDH,5,4,2,7,2,0,5,0,0,,11,6,5,12,3,5,4,0,0,,36,8,8,36,5,24,7,0,0,,20,8,2,26,5,13,5,3,0,0,,27,2,0,29,2,27,0,0,0,

2021-06-13,PTT,0,2,1,1,1,0,0,0,0,,9,1,2,8,3,5,0,0,0,,5,3,6,2,2,0,0,0,0,,4,6,1,9,9,0,0,0,0,0,,3,1,0,4,1,3,0,0,0,
